ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m, fX, fY, fZ
42, 6.6453, 1.05033, 4.66772, 2.29786, -13.0653, -4.05981, 4595.72, -26130.5, -8119.62, 1, -4595.72, 26120.7, 8119.62
43, 6.42167, 1.53919, 6.73243, -14.3366, 3.41666, -15.2996, -28673.3, 6833.32, -30599.2, 1, 28673.3, -6843.13, 30599.2
44, 5.752, 2.23738, 6.75407, 1.63023, -0.322997, 2.31435, 3260.46, -645.994, 4628.71, 1, -3260.46, 636.184, -4628.71
45, 3.27231, 1.70271, 2.90611, 4.01307, 6.55876, 1.92908, 8026.14, 13117.5, 3858.15, 1, -8026.14, -13127.3, -3858.15
46, 6.66311, 2.5103, 5.07455, -3.35568, -23.019, -28.7548, -6711.35, -46038, -57509.6, 1, 6711.35, 46028.1, 57509.6
47, 5.01305, 9.08747, 2.09305, 0.324195, 0.102842, -0.0875816, 648.39, 205.685, -175.163, 1, -648.39, -215.495, 175.163
48, 8.06122, 0.247478, 6.93048, -79.0812, -18.7282, 28.8264, -158162, -37456.3, 57652.7, 1, 158162, 37446.5, -57652.7
49, 0.498293, 7.43521, 1.82612, -369.854, 102.307, -1593.95, -739707, 204614, -3.1879e+06, 1, 739707, -204623, 3.1879e+06
50, 6.31463, 5.17698, 6.18802, -0.153222, -0.0758753, 0.0343659, -306.443, -151.751, 68.7318, 1, 306.443, 141.941, -68.7318
51, 9.18187, 2.30289, 5.8319, -0.229592, -1.39806, -5.22227, -459.184, -2796.13, -10444.5, 1, 459.184, 2786.32, 10444.5
52, 2.74677, 3.11294, 9.95083, 0.685414, 0.443279, 1.44045, 1370.83, 886.559, 2880.91, 1, -1370.83, -896.369, -2880.91
53, 6.06411, 8.41618, 2.59621, -0.308566, 1.41602, 0.315941, -617.132, 2832.04, 631.882, 1, 617.132, -2841.85, -631.882
54, 6.44254, 6.65292, 4.06958, -0.770724, 0.735497, -0.100225, -1541.45, 1470.99, -200.45, 1, 1541.45, -1480.8, 200.45
55, 6.48603, 7.65009, 6.47353, 4.91258, -24.1618, 2.98303, 9825.16, -48323.5, 5966.05, 1, -9825.16, 48313.7, -5966.05
56, 1.035, 2.25347, 2.12966, 0.447491, 2.3055, -1.47174, 894.982, 4611, -2943.49, 1, -894.982, -4620.81, 2943.49
